academy_id, academy_name, road_address, building, address, sido, sigungu, dong, zip_code, latitude, longitude
1,11월의비상학원, 인천 서구 원창로 164, , 인천 서구 신현동 83-18, 인천, 서구, 신현원창동, 404830, 126.66753393930891, 37.517601522363236
2,11월의비상학원, 인천 연수구 독배로 55, , 인천 연수구 옥련동 196, 인천, 연수구, 옥련2동, 406838, 126.64435123093574, 37.42567103310399
4,1326수학학원, 인천 남동구 에코중앙로156번길 13-5, , 인천 남동구 논현동 770-5, 인천, 남동구, 논현고잔동, 405300, 126.72643505851981, 37.39113904852614
5,153본수학학원, 인천 남동구 용천로 80, , 인천 남동구 구월동 1241-2, 인천, 남동구, 구월2동, 405828, 126.71502105711694, 37.456583433451165
6,3-pro(프로)수학전문학원, 인천 부평구 원길로 17, 승진빌딩, 인천 부평구 청천동 234-3, 인천, 부평구, 청천2동, 403858, 126.71434758794875, 37.50525055346492
7,3030영어학원, 인천 남동구 도림로11번길 13, , 인천 남동구 도림동 659-8, 인천, 남동구, 남촌도림동, 405280, 126.72979166376541, 37.41994690257393
8,3층의기적영수학원, 인천 부평구 후정동로 35, , 인천 부평구 삼산동 60-30, 인천, 부평구, 삼산1동, 403861, 126.73786301166874, 37.52070139444355
9,7스템스(7stems)학원, 인천 부평구 부일로 60, , 인천 부평구 부개동 165-15, 인천, 부평구, 부개2동, 403808, 126.73650422310952, 37.48890378047676
10,A+sky학원, 인천 계양구 용종로 23, 은행마을태산아파트, 인천 계양구 계산동 1084-3, 인천, 계양구, 계산4동, 407813, 126.74113634056806, 37.53587063201478
11,A1학원, 인천 부평구 부영로189번길 51, 오남프라자, 인천 부평구 산곡동 281-5, 인천, 부평구, 산곡4동, 403835, 126.71291645987203, 37.502118802992435
12,ACE(에이스)학원, 인천 부평구 경원대로1240번길 6, 세섬빌딩, 인천 부평구 부평동 280-3, 인천, 부평구, 부평3동, 403822, 126.70883049938618, 37.48724584218659
13,AE영어학원, 인천 부평구 영성서로 15, , 인천 부평구 삼산동 86-12, 인천, 부평구, 삼산1동, 403862, 126.74269445048205, 37.51969568997032
14,AK영어수학전문학원, 인천 부평구 원적로 298, 삼보우편취급소, 인천 부평구 산곡동 180-383, 인천, 부평구, 산곡1동, 403833, 126.69931362115096, 37.50439513168647
15,AMP학원, 인천 부평구 안남로 261, 전방프라자, 인천 부평구 산곡동 124-25, 인천, 부평구, 산곡2동, 403835, 126.70858026049922, 37.506252796610426
16,Apex학원, 인천 부평구 원적로 412, , 인천 부평구 산곡동 142-40, 인천, 부평구, 산곡4동, 403835, 126.71207393700182, 37.503587188884005
17,APEX학원, 인천 서구 완정로 43, 마전프라자, 인천 서구 마전동 1021-1, 인천, 서구, 검단4동, 404260, 126.66929649362649, 37.59591722575431
18,Being학원, 인천 연수구 신송로 121, 송도센타프라자, 인천 연수구 송도동 3-4, 인천, 연수구, 송도1동, 406840, 126.65188460563242, 37.395390507627944
19,BK학원, 인천 남동구 소래로669번길 51, , 인천 남동구 만수동 981, 인천, 남동구, 만수1동, 405865, 126.73146513527038, 37.44987877895339
20,Carlsbad영수학원, 인천 계양구 임학동로 12, , 인천 계양구 임학동 70-11, 인천, 계양구, 계양2동, 407814, 126.73466326179646, 37.54389316323104
21,CLD학원, 인천 서구 장고개로337번길 18-3, 영프라자, 인천 서구 가좌동 30-132, 인천, 서구, 가좌2동, 404808, 126.6844097369686, 37.49313696819925
22,CMS수학융합사고력학원, 인천 남동구 구월남로 190, 퍼스트프라자, 인천 남동구 구월동 1200-2, 인천, 남동구, 구월1동, 405835, 126.7107050164619, 37.4526805835131
23,CSA목동학원, 인천 계양구 계산새로 93, 밀레니엄프라자, 인천 계양구 용종동 211-4, 인천, 계양구, 계산4동, 407310, 126.73850341590447, 37.53816057416872
24,E&M아카데미학원, 인천 서구 장고개로337번길 18-3, 영프라자, 인천 서구 가좌동 30-132, 인천, 서구, 가좌2동, 404808, 126.6844097369686, 37.49313696819925
25,EBS스스로배움터잉글리시아이쎈수학학원, 인천 부평구 부영로189번길 51, 오남프라자, 인천 부평구 산곡동 281-5, 인천, 부평구, 산곡4동, 403835, 126.71291645987203, 37.502118802992435
26,EBS탭강잉글리시아이학원, 인천 부평구 청중로84번길 12, , 인천 부평구 청천동 174-28, 인천, 부평구, 청천2동, 403853, 126.70634471525278, 37.51682861919792
27,ECL만수학원, 인천 남동구 만수로 51, , 인천 남동구 만수동 72-17, 인천, 남동구, 만수2동, 405856, 126.73387693515097, 37.460699963142794
28,ECN영어학원, 인천 계양구 효서로 344, 경민메디칼프라자, 인천 계양구 작전동 645-10, 인천, 계양구, 작전서운동, 407060, 126.73436708630248, 37.527861938819576
29,EIA학원, 인천 서구 보석로18번길 12, , 인천 서구 경서동 981-149, 인천, 서구, 청라3동, , 126.62579797805253, 37.52139060463907
30,ELL(이엘엘)영어독서전문학원, 인천 부평구 안남로 261, 전방프라자, 인천 부평구 산곡동 124-25, 인천, 부평구, 산곡2동, 403835, 126.70858026049922, 37.506252796610426
31,EM(이엠)미래교육학원, 인천 부평구 영성중로36번길 3, , 인천 부평구 삼산동 117-25, 인천, 부평구, 삼산1동, 403862, 126.74527808269026, 37.5196976861898
32,EMA학원, 인천 서구 완정로64번길 4, 영남탑스빌 상가, 인천 서구 마전동 1000-1, 인천, 서구, 검단4동, 404260, 126.66836118747808, 37.59744628004324
33,EMS영수과전문학원, 인천 계양구 주부토로472번길 11, , 인천 계양구 계산동 299, 인천, 계양구, 계산3동, 407802, 126.72937682299356, 37.53632720418212
