academy_id, academy_name, road_address, building, address, sido, sigungu, dong, zip_code, latitude, longitude
8226,중원보습학원, 경기 부천시 계남로 127, , 경기 부천시 중동 1028-1, 경기, 부천시, 중4동, 420847, 126.76302338743743, 37.508508138996454
8227,중원푸르넷학원, 경기 성남시 중원구 산성대로408번길 39, , 경기 성남시 중원구 금광동 3394, 경기, 성남시 중원구, 금광2동, 462804, 127.16288541743926, 37.448013692435914
8228,중탑보습학원, 경기 성남시 분당구 장미로 173, 매화마을 아파트, 경기 성남시 분당구 야탑동 211-2, 경기, 성남시 분당구, 야탑3동, 463835, 127.1401686135803, 37.41324918247283
8229,중흥 JUST ONE(저스트원)영수보습학원, 경기 부천시 중동로279번길 24, , 경기 부천시 중동 1036, 경기, 부천시, 중4동, 420848, 126.7678430890426, 37.505086689886646
8230,쥬니어정일보습학원, 경기 이천시 마장면 오천로 160-14, , 경기 이천시 마장면 오천리 115, 경기, 이천시, 마장면, 467814, 127.36060877096467, 37.24492089820838
8231,즐거운도전학원, 경기 화성시 효행로265번길 47, , 경기 화성시 기안동 288-7, 경기, 화성시, 기배동, 445310, 126.97582377143952, 37.225320108136565
8232,즐거운보습영어학원, 경기 양주시 백석읍 중앙로 218, , 경기 양주시 백석읍 오산리 541-1, 경기, 양주시, 백석읍, 482835, 126.98848266600189, 37.79538757401365
8233,즐거운상상학원, 경기 의왕시 흥안대로456번길 111, 동아에코빌아파트, 경기 의왕시 포일동 518, 경기, 의왕시, 내손2동, 437771, 126.98149787358864, 37.39256049035888
8234,즐거운연세학원, 경기 안양시 만안구 양화로 84, , 경기 안양시 만안구 안양동 908-31, 경기, 안양시 만안구, 안양3동, 430842, 126.91231759291198, 37.40081882890478
8235,즐공학원, 경기 안산시 단원구 화정천동로 90, , 경기 안산시 단원구 고잔동 693-5, 경기, 안산시 단원구, 호수동, 425802, 126.82188352097718, 37.313137376544304
8236,증포삼성영어학원, 경기 이천시 이섭대천로 1411, 흥인프라자, 경기 이천시 증포동 210-1, 경기, 이천시, 증포동, 467802, 127.45565388565362, 37.293883460785324
8237,지1230학원, 경기 성남시 중원구 도촌로8번길 11, 씨엔씨프라자, 경기 성남시 중원구 도촌동 580, 경기, 성남시 중원구, 도촌동, 462080, 127.1515448017768, 37.41497591535655
8238,지1230학원, 경기 양주시 고읍남로 2, 해동월드타워, 경기 양주시 광사동 651, 경기, 양주시, 양주2동, 482030, 127.08041309093583, 37.79600578289419
8239,지1230학원, 경기 용인시 기흥구 한보라1로 56, 메디프라자, 경기 용인시 기흥구 보라동 612-6, 경기, 용인시 기흥구, 상갈동, 446904, 127.10795029857032, 37.250693681835244
8240,지나김(JinaKim)뉴욕영어학원, 경기 김포시 양촌읍 양곡1로 58, , 경기 김포시 양촌읍 양곡리 431, 경기, 김포시, 양촌읍, 415845, 126.62326595897308, 37.655795480287416
8241,지능보습학원, 경기 부천시 상일로 82, 다모아빌딩, 경기 부천시 상동 400, 경기, 부천시, 상1동, 420814, 126.75159821400042, 37.4913151345789
8242,지니보습학원, 경기 부천시 신흥로 285, 나성빌딩, 경기 부천시 중동 3-77, 경기, 부천시, 약대동, 420843, 126.77459005926664, 37.50898127908359
8243,지니사이언스학원, 경기 수원시 장안구 대평로 72, 선일프라자, 경기 수원시 장안구 정자동 878-6, 경기, 수원시 장안구, 정자3동, 440841, 126.99395489954838, 37.29480363150289
8244,지니아이보습학원, 경기 용인시 기흥구 죽전로 20, 죽전누리에뜰아파트, 경기 용인시 기흥구 보정동 1263, 경기, 용인시 기흥구, 보정동, 446980, 127.11037347317483, 37.320035368009734
8245,지니어스보습학원, 경기 군포시 산본로372번길 17, 덕양빌딩, 경기 군포시 산본동 1095, 경기, 군포시, 산본2동, 435801, 126.93060669679232, 37.36455935957841
8246,지니어스영수학원, 경기 수원시 영통구 인계로220번길 6-85, , 경기 수원시 영통구 매탄동 923-34, 경기, 수원시 영통구, 매탄3동, 443806, 127.04090953675203, 37.26396313526627
8247,지니어스카이학원, 경기 수원시 영통구 권선로908번길 53, , 경기 수원시 영통구 신동 938, 경기, 수원시 영통구, 영통2동, 443390, 127.04434901335044, 37.24650327921819
8248,지니에듀학원, 경기 양평군 양평읍 흥청길 6, , 경기 양평군 양평읍 공흥리 749, 경기, 양평군, 양평읍, 476803, 127.49655698715374, 37.49456200544713
8249,지니영어학원, 경기 구리시 장자대로86번길 14-11, 그린빌딩, 경기 구리시 수택동 875-2, 경기, 구리시, 수택3동, 471030, 127.1392887712563, 37.58681990690097
8250,지니영어학원, 경기 시흥시 옥구천동로 433-24, 삼환아파트, 경기 시흥시 정왕동 1876-1, 경기, 시흥시, 정왕4동, 429771, 126.73019856015598, 37.36064988772945
8251,지니잉글리쉬학원, 경기 고양시 일산서구 대산로 117, 강선프라자, 경기 고양시 일산서구 주엽동 51, 경기, 고양시 일산서구, 주엽1동, 411848, 126.76427100976687, 37.67396847508784
8252,지니잉글리쉬학원, 경기 안산시 단원구 선부로 173, , 경기 안산시 단원구 선부동 1143-10, 경기, 안산시 단원구, 선부3동, 425832, 126.81426337103832, 37.34197668112447
8254,지니해법영어학원, 경기 안산시 단원구 초지2로 41, 그린빌주공15단지아파트, 경기 안산시 단원구 초지동 736, 경기, 안산시 단원구, 초지동, 425080, 126.81188436722852, 37.30761118133908
8255,지담(G-Dahm)보습학원, 경기 김포시 사우중로 83, 사우테마프라자, 경기 김포시 북변동 826, 경기, 김포시, 김포본동, 415834, 126.72071559008933, 37.62211383990905
8256,지담보습학원, 경기 남양주시 진접읍 금강로 1563, , 경기 남양주시 진접읍 장현리 84-4, 경기, 남양주시, 진접읍, 472865, 127.19312289018217, 37.73029913897903
8257,지디매쓰클럽보습학원, 경기 성남시 분당구 돌마로 481, 분당우성프라자, 경기 성남시 분당구 서현동 95, 경기, 성남시 분당구, 서현1동, 463823, 127.13287204686124, 37.37775375861112
8258,지매쓰수학보습학원, 경기 성남시 수정구 수정로 267, 성창빌딩, 경기 성남시 수정구 신흥동 63, 경기, 성남시 수정구, 신흥2동, 461860, 127.14527550204697, 37.44891964298756
8259,지맥스학원, 경기 김포시 감정로 35, , 경기 김포시 감정동 607-5, 경기, 김포시, 김포본동, 415010, 126.70074135062909, 37.620295340475764
8260,지맥스학원, 경기 파주시 문산읍 문향로75번길 126, 신가영헤어필, 경기 파주시 문산읍 당동리 134-2, 경기, 파주시, 문산읍, 413902, 126.78212808235152, 37.86216362121563
8261,지멘토영수단과학원, 경기 안양시 만안구 양화로 128, , 경기 안양시 만안구 박달동 20-1, 경기, 안양시 만안구, 박달1동, 430846, 126.9098607139858, 37.40400299083476
8262,지민스터디학원, 경기 고양시 일산동구 탄중로 429, 성지프라자, 경기 고양시 일산동구 중산동 1579-1, 경기, 고양시 일산동구, 중산동, 410831, 126.77874108536702, 37.68713274933307
8264,지산학원, 경기 성남시 분당구 성남대로 389, 폴라리스빌딩2, 경기 성남시 분당구 정자동 15-1, 경기, 성남시 분당구, 정자1동, 463811, 127.10748549283332, 37.370845267752415
8265,지산학원, 경기 양평군 개군면 하자포길 31, , 경기 양평군 개군면 하자포리 220-9, 경기, 양평군, 개군면, 476893, 127.53780023200763, 37.425840440849846
8266,지성과감성프라임영수학원, 경기 여주시 세종로 204-6, , 경기 여주시 교동 100-3, 경기, 여주시, , 469108, 127.63641732313667, 37.28011442527599
8267,지성과진솔아이에스영어학원, 경기 성남시 분당구 불정로 258, 우진프라자, 경기 성남시 분당구 수내동 88-4, 경기, 성남시 분당구, 수내3동, 463865, 127.12716282062566, 37.36663057344145
8268,지성수학학원, 경기 광명시 광덕산로 5, 종합상가동, 경기 광명시 철산동 637, 경기, 광명시, , 423030, 126.86919340543717, 37.47038782825298
8269,지성수학학원, 경기 남양주시 와부읍 덕소로97번길 99, 동부센트레빌아파트, 경기 남양주시 와부읍 덕소리 613, 경기, 남양주시, 와부읍, 472918, 127.22236868776699, 37.5893847934838
8270,지성아인스학원, 경기 남양주시 화도읍 녹촌로 22, 신한토탈아파트, 경기 남양주시 화도읍 창현리 764, 경기, 남양주시, 화도읍, 472848, 127.30031853888593, 37.64498678027691
8271,지성에듀학원, 경기 화성시 향남읍 행정중앙2로 29, 발안농협 행정지점, 경기 화성시 향남읍 행정리 435-1, 경기, 화성시, 향남읍, 445926, 126.9185999162336, 37.13004587209088
8272,지성의숲학원, 경기 광명시 오리로 346, , 경기 광명시 소하동 1380, 경기, 광명시, 소하2동, 423050, 126.87977051170627, 37.43328093338423
8273,지세븐탄벌캠퍼스학원, 경기 광주시 파발로 185, KJ빌딩, 경기 광주시 탄벌동 44-5, 경기, 광주시, 송정동, 464100, 127.25060007234164, 37.41545978333299
8274,지세븐학원, 경기 광주시 파발로 187, 세양빌딩, 경기 광주시 탄벌동 44-2, 경기, 광주시, 송정동, 464100, 127.25037482155795, 37.41566208833386
8275,지식공장보습학원, 경기 성남시 분당구 판교로 446, 그린프라자, 경기 성남시 분당구 이매동 131-8, 경기, 성남시 분당구, 이매2동, 463806, 127.12335602720974, 37.405122703872706
8276,지식을담는깊은생각수학전문학원, 경기 화성시 동탄문화센터로 61, 아시아 프라자, 경기 화성시 반송동 107-7, 경기, 화성시, 동탄1동, 445160, 127.07211215393222, 37.19967836954982
8277,지식의샘영수학원, 경기 용인시 기흥구 강남동로 126, 강남마을한라비발디아파트, 경기 용인시 기흥구 상하동 630, 경기, 용인시 기흥구, 상하동, 446519, 127.13682309247565, 37.27534156755969
8278,지식의샘학원, 경기 가평군 설악면 신천중앙로 132-1, 비비큐치킨, 경기 가평군 설악면 신천리 465-2, 경기, 가평군, 설악면, 477853, 127.48916208847861, 37.678040494662184
8279,지식의창학원, 경기 고양시 덕양구 화신로 319, 문정빌딩, 경기 고양시 덕양구 화정동 946, 경기, 고양시 덕양구, 화정2동, 412270, 126.82629425607011, 37.632652599206544
8280,지식인학원, 경기 군포시 번영로 489, 중앙타워, 경기 군포시 산본동 1142-7, 경기, 군포시, 광정동, 435805, 126.93158352341732, 37.35794278518618
8281,지쎈학원, 경기 화성시 동탄대로시범길 148-22, , 경기 화성시 청계동 535-6, 경기, 화성시, 동탄4동, , 127.11488952821237, 37.20047357482911
8282,지안학원, 경기 고양시 일산서구 주화로 88, 효림빌딩, 경기 고양시 일산서구 주엽동 115-2, 경기, 고양시 일산서구, 주엽2동, 411838, 126.75852374600954, 37.67055475647927
8283,지앤비(GnB)어학보습속독학원, 경기 부천시 소사로776번길 13, , 경기 부천시 원종동 233-9, 경기, 부천시, 원종1동, 421819, 126.80552398875327, 37.52544170587739
8284,지앤비(GnB)해법수학학원, 경기 김포시 하성면 애기봉로 860-1, , 경기 김포시 하성면 마곡리 615-1, 경기, 김포시, 하성면, 415882, 126.63311461091902, 37.719629803958924
8285,지앤비GnB영어분석수학학원, 경기 김포시 김포한강1로 247, 김포운양헤리움타운, 경기 김포시 운양동 1298-3, 경기, 김포시, , , 126.6848169373417, 37.65426773898806
8286,지앤비리더스보습학원, 경기 군포시 번영로 514, 현대프라자, 경기 군포시 금정동 873-1, 경기, 군포시, 재궁동, 435050, 126.93426532647415, 37.35809567853936
8287,지앤비보습학원, 경기 양주시 평화로 1414, , 경기 양주시 덕계동 418-6, 경기, 양주시, 회천2동, 482050, 127.04641906880796, 37.817214638577674
8288,지앤비사동학원, 경기 안산시 상록구 감골1로 50, 신우아파트 종합상가동, 경기 안산시 상록구 사동 1344-1, 경기, 안산시 상록구, 사이동, 426748, 126.85196418592429, 37.28946717417068
8289,지앤비아데나학원, 경기 이천시 향교로 144-1, 갈산화성파크드림, 경기 이천시 갈산동 789-1, 경기, 이천시, 증포동, 467070, 127.45357208659347, 37.28375666247915
8290,지앤비앤탑플러스학원, 경기 양주시 삼숭로58번길 111, 양주자이6단지아파트, 경기 양주시 삼숭동 688, 경기, 양주시, 양주2동, 482110, 127.10591832775404, 37.802205841615425
8291,지앤비어학원, 경기 안양시 만안구 경수대로 1187, , 경기 안양시 만안구 안양동 28-1, 경기, 안양시 만안구, 안양2동, 430812, 126.91598291826841, 37.415623444991304
8292,지앤비어학원, 경기 안양시 만안구 경수대로 1187, , 경기 안양시 만안구 안양동 28-1, 경기, 안양시 만안구, 안양2동, 430812, 126.91598291826841, 37.415623444991304
8293,지앤비어학원, 경기 안양시 만안구 경수대로 1187, , 경기 안양시 만안구 안양동 28-1, 경기, 안양시 만안구, 안양2동, 430812, 126.91598291826841, 37.415623444991304
8294,지앤비어학원, 경기 안양시 만안구 경수대로 1187, , 경기 안양시 만안구 안양동 28-1, 경기, 안양시 만안구, 안양2동, 430812, 126.91598291826841, 37.415623444991304
8295,지앤비어학원, 경기 여주시 세종로 204-18, , 경기 여주시 교동 103-1, 경기, 여주시, , 469108, 127.63499515363112, 37.27994546204629
