"key","latitude","longitude","value"
"1100000000","37.566826005485716","126.9786567859313","서울특별시"
"1111000000","37.57312947159552","126.97923004370492","서울특별시 종로구"
"1111010100","37.58919743786871","126.96932976359267","서울특별시 종로구 청운동"
"1111010200","37.58449027761619","126.96792327158049","서울특별시 종로구 신교동"
"1111010300","37.584682591584325","126.9731447847477","서울특별시 종로구 궁정동"
"1111010400","37.582649668517675","126.97193185534375","서울특별시 종로구 효자동"
"1111010500","37.58054507240491","126.97246247448454","서울특별시 종로구 창성동"
"1111010600","37.57805841946451","126.97285282432283","서울특별시 종로구 통의동"
"1111010700","37.57530518869536","126.97377303544924","서울특별시 종로구 적선동"
"1111010800","37.58014448471319","126.97021199276016","서울특별시 종로구 통인동"
"1111010900","37.58002688452812","126.96226465914243","서울특별시 종로구 누상동"
"1111011000","37.57928262965246","126.96827419081349","서울특별시 종로구 누하동"
"1111011100","37.583523092705505","126.96338599562185","서울특별시 종로구 옥인동"
"1111011200","37.57758942975192","126.97086961041762","서울특별시 종로구 체부동"
"1111011300","37.577801253223726","126.96774953803877","서울특별시 종로구 필운동"
"1111011400","37.57530471407189","126.97171726186065","서울특별시 종로구 내자동"
"1111011500","37.57618696588561","126.96884605608865","서울특별시 종로구 사직동"
"1111011600","37.573161012273545","126.9746476926058","서울특별시 종로구 도렴동"
"1111011700","37.57157151632814","126.97400074027833","서울특별시 종로구 당주동"
"1111011800","37.57330816825247","126.97196252974183","서울특별시 종로구 내수동"
"1111011900","37.58019281070752","126.97677819997642","서울특별시 종로구 세종로"
"1111012000","37.57017314981071","126.97390161420634","서울특별시 종로구 신문로1가"
"1111012100","37.570662293365906","126.9697222334161","서울특별시 종로구 신문로2가"
"1111012200","37.5714393638486","126.98015420507966","서울특별시 종로구 청진동"
"1111012300","37.56951127477092","126.98039921707391","서울특별시 종로구 서린동"
"1111012400","37.57367751136025","126.9806109429573","서울특별시 종로구 수송동"
"1111012500","37.5752847227366","126.97964150539138","서울특별시 종로구 중학동"
"1111012600","37.57025725733926","126.98014999090707","서울특별시 종로구 종로1가"
"1111012700","37.57126683796853","126.98314718722077","서울특별시 종로구 공평동"
"1111012800","37.57412860832131","126.98469061247064","서울특별시 종로구 관훈동"
"1111012900","37.573191351057915","126.98306072140024","서울특별시 종로구 견지동"
"1111013000","37.58234273682689","126.99121458896555","서울특별시 종로구 와룡동"
"1111013100","37.574323928540736","126.99176342836175","서울특별시 종로구 권농동"
"1111013200","37.576374292047824","126.9882221494203","서울특별시 종로구 운니동"
"1111013300","37.574334577962496","126.98969409581709","서울특별시 종로구 익선동"
"1111013400","37.575188385536514","126.98638391578984","서울특별시 종로구 경운동"
"1111013500","37.56910482023577","126.98598658035239","서울특별시 종로구 관철동"
"1111013600","37.571703298275374","126.98604948435188","서울특별시 종로구 인사동"
"1111013700","37.57255771619767","126.9886076279176","서울특별시 종로구 낙원동"
"1111013800","37.57088903814411","126.98825018045687","서울특별시 종로구 종로2가"
"1111013900","37.58280999875508","126.98067650359042","서울특별시 종로구 팔판동"
"1111014000","37.58499778256992","126.98175830292165","서울특별시 종로구 삼청동"
"1111014100","37.57738645913225","126.98360769083564","서울특별시 종로구 안국동"
"1111014200","37.579624122782164","126.98090827525647","서울특별시 종로구 소격동"
"1111014300","37.58069117520751","126.98269674539692","서울특별시 종로구 화동"
"1111014400","37.57725261950004","126.98037907503586","서울특별시 종로구 사간동"
"1111014500","37.57675910936144","126.98184634915718","서울특별시 종로구 송현동"
"1111014600","37.58010401538313","126.98478901443852","서울특별시 종로구 가회동"
"1111014700","37.578302085470945","126.9852467410879","서울특별시 종로구 재동"
"1111014800","37.582432436588725","126.98690338187427","서울특별시 종로구 계동"
"1111014900","37.58393183293996","126.98826624545165","서울특별시 종로구 원서동"
"1111015000","37.57436371580473","126.99417236209847","서울특별시 종로구 훈정동"
"1111015100","37.57240661014004","126.9917455276779","서울특별시 종로구 묘동"
"1111015200","37.57216522423014","126.99299526743218","서울특별시 종로구 봉익동"
"1111015300","37.57197045289418","126.99072679060596","서울특별시 종로구 돈의동"
"1111015400","37.56921722409423","126.99402334676202","서울특별시 종로구 장사동"
"1111015500","37.569062018690765","126.99046001345953","서울특별시 종로구 관수동"
"1111015600","37.57038842029531","126.99232984157867","서울특별시 종로구 종로3가"
"1111015700","37.57233119210525","126.9976681025987","서울특별시 종로구 인의동"
"1111015800","37.56962100915542","126.99830207798159","서울특별시 종로구 예지동"
"1111015900","37.57552071023429","126.99749593347273","서울특별시 종로구 원남동"
"1111016000","37.57374757913026","127.00013131321435","서울특별시 종로구 연지동"
"1111016100","37.57074546337828","126.99976455127381","서울특별시 종로구 종로4가"
"1111016200","37.57259426612385","127.00305638113112","서울특별시 종로구 효제동"
"1111016300","37.57060485565232","127.00352719640145","서울특별시 종로구 종로5가"
"1111016400","37.5718912859078","127.00758428188448","서울특별시 종로구 종로6가"
"1111016500","37.57699468402387","127.00433805247364","서울특별시 종로구 이화동"
"1111016600","37.578674216494214","126.99966943116526","서울특별시 종로구 연건동"
"1111016700","37.574947553816","127.00595899871958","서울특별시 종로구 충신동"
"1111016800","37.58137709804374","127.00487267019889","서울특별시 종로구 동숭동"
"1111016900","37.586855235994356","127.0006204504988","서울특별시 종로구 혜화동"
"1111017000","37.58910769214281","126.99746830452213","서울특별시 종로구 명륜1가"
"1111017100","37.58469645440693","126.99903085713592","서울특별시 종로구 명륜2가"
"1111017200","37.58223134053387","127.00007245689034","서울특별시 종로구 명륜4가"
